364,terminating,"364,420,924,1764,3423,1825,469,75,49,8,7,1,0"
344,terminating,"344,316,244,190,170,154,134,70,74,40,50,43,1,0"
385,terminating,"385,191,1,0"
386,terminating,"386,196,203,37,1,0"
365,terminating,"365,79,1,0"
387,terminating,"387,185,43,1,0"
345,terminating,"345,231,153,81,40,50,43,1,0"
388,terminating,"388,298,152,148,118,62,34,20,22,14,10,8,7,1,0"
346,terminating,"346,176,196,203,37,1,0"
389,terminating,"389,1,0"
366,terminating,"366,378,582,594,846,1026,1374,1386,2358,2790,4698,6192,11540,12736,12664,11096,11104,10820,11944,10466,5236,6860,9940,14252,14308,15218,10894,6746,3376,3196,2852,2524,1900,2440,3140,3496,3704,3256,3584,4600,6560,9316,8072,7078,3542,3370,2714,1606,1058,601,1,0"
367,terminating,"367,1,0"
347,terminating,"347,1,0"
390,terminating,"390,618,630,1242,1638,2730,5334,6954,7926,7938,12753,7267,785,163,1,0"
368,terminating,"368,376,344,316,244,190,170,154,134,70,74,40,50,43,1,0"
348,terminating,"348,492,684,1136,1096,974,490,536,484,447,153,81,40,50,43,1,0"
391,terminating,"391,41,1,0"
417,aspiring,"417,143,25,6"
369,terminating,"369,177,63,41,1,0"
349,terminating,"349,1,0"
392,terminating,"392,463,1,0"
418,terminating,"418,302,154,134,70,74,40,50,43,1,0"
350,terminating,"350,394,200,265,59,1,0"
393,terminating,"393,135,105,87,33,15,9,4,3,1,0"
394,terminating,"394,200,265,59,1,0"
395,terminating,"395,85,23,1,0"
449,terminating,"449,1,0"
450,terminating,"450,759,393,135,105,87,33,15,9,4,3,1,0"
419,terminating,"419,1,0"
420,terminating,"420,924,1764,3423,1825,469,75,49,8,7,1,0"
421,terminating,"421,1,0"
370,terminating,"370,314,160,218,112,136,134,70,74,40,50,43,1,0"
451,terminating,"451,53,1,0"
452,terminating,"452,346,176,196,203,37,1,0"
422,terminating,"422,214,110,106,56,64,63,41,1,0"
453,terminating,"453,155,37,1,0"
371,terminating,"371,61,1,0"
372,terminating,"372,524,400,561,303,105,87,33,15,9,4,3,1,0"
373,terminating,"373,1,0"
454,terminating,"454,230,202,104,106,56,64,63,41,1,0"
374,terminating,"374,274,140,196,203,37,1,0"
455,terminating,"455,217,39,17,1,0"
456,terminating,"456,744,1176,2244,3804,5100,10524,14060,17860,22460,24748,20612,15466,11894,6946,3998,2002,2030,2290,1850,1684,1270,1034,694,350,394,200,265,59,1,0"
351,terminating,"351,209,31,1,0"
457,terminating,"457,1,0"
458,terminating,"458,232,218,112,136,134,70,74,40,50,43,1,0"
459,terminating,"459,261,129,47,1,0"
460,terminating,"460,548,418,302,154,134,70,74,40,50,43,1,0"
461,terminating,"461,1,0"
462,terminating,"462,690,1038,1050,1926,2286,2706,3342,3354,4038,4050,7203,4001,1,0"
463,terminating,"463,1,0"
423,terminating,"423,201,71,1,0"
424,terminating,"424,386,196,203,37,1,0"
425,terminating,"425,133,27,13,1,0"
426,terminating,"426,438,450,759,393,135,105,87,33,15,9,4,3,1,0"
427,terminating,"427,69,27,13,1,0"
428,terminating,"428,328,302,154,134,70,74,40,50,43,1,0"
429,terminating,"429,243,121,12,16,15,9,4,3,1,0"
430,terminating,"430,362,184,176,196,203,37,1,0"
431,terminating,"431,1,0"
432,terminating,"432,808,722,421,1,0"
513,terminating,"513,287,49,8,7,1,0"
433,terminating,"433,1,0"
514,terminating,"514,260,328,302,154,134,70,74,40,50,43,1,0"
515,terminating,"515,109,1,0"
434,terminating,"434,334,170,154,134,70,74,40,50,43,1,0"
516,terminating,"516,716,544,590,490,536,484,447,153,81,40,50,43,1,0"
517,terminating,"517,59,1,0"
375,terminating,"375,249,87,33,15,9,4,3,1,0"
518,terminating,"518,394,200,265,59,1,0"
435,terminating,"435,285,195,141,51,21,11,1,0"
519,terminating,"519,177,63,41,1,0"
436,terminating,"436,334,170,154,134,70,74,40,50,43,1,0"
520,terminating,"520,740,856,764,580,680,940,1076,814,554,280,440,640,890,730,602,454,230,202,104,106,56,64,63,41,1,0"
521,terminating,"521,1,0"
376,terminating,"376,344,316,244,190,170,154,134,70,74,40,50,43,1,0"
437,terminating,"437,43,1,0"
352,terminating,"352,404,310,266,214,110,106,56,64,63,41,1,0"
522,terminating,"522,648,1167,393,135,105,87,33,15,9,4,3,1,0"
377,terminating,"377,43,1,0"
523,terminating,"523,1,0"
438,terminating,"438,450,759,393,135,105,87,33,15,9,4,3,1,0"
524,terminating,"524,400,561,303,105,87,33,15,9,4,3,1,0"
525,terminating,"525,467,1,0"
526,terminating,"526,266,214,110,106,56,64,63,41,1,0"
527,terminating,"527,49,8,7,1,0"
439,terminating,"439,1,0"
440,terminating,"440,640,890,730,602,454,230,202,104,106,56,64,63,41,1,0"
441,terminating,"441,300,568,512,511,81,40,50,43,1,0"
378,terminating,"378,582,594,846,1026,1374,1386,2358,2790,4698,6192,11540,12736,12664,11096,11104,10820,11944,10466,5236,6860,9940,14252,14308,15218,10894,6746,3376,3196,2852,2524,1900,2440,3140,3496,3704,3256,3584,4600,6560,9316,8072,7078,3542,3370,2714,1606,1058,601,1,0"
379,terminating,"379,1,0"
481,terminating,"481,51,21,11,1,0"
442,terminating,"442,314,160,218,112,136,134,70,74,40,50,43,1,0"
464,terminating,"464,466,236,184,176,196,203,37,1,0"
380,terminating,"380,460,548,418,302,154,134,70,74,40,50,43,1,0"
482,terminating,"482,244,190,170,154,134,70,74,40,50,43,1,0"
443,terminating,"443,1,0"
465,terminating,"465,303,105,87,33,15,9,4,3,1,0"
381,terminating,"381,131,1,0"
444,terminating,"444,620,724,550,566,286,218,112,136,134,70,74,40,50,43,1,0"
466,terminating,"466,236,184,176,196,203,37,1,0"
483,terminating,"483,285,195,141,51,21,11,1,0"
445,aspiring,"445,95,25,6"
382,terminating,"382,194,100,117,65,19,1,0"
467,terminating,"467,1,0"
484,terminating,"484,447,153,81,40,50,43,1,0"
446,terminating,"446,226,116,94,50,43,1,0"
485,terminating,"485,103,1,0"
383,terminating,"383,1,0"
468,terminating,"468,806,538,272,286,218,112,136,134,70,74,40,50,43,1,0"
447,terminating,"447,153,81,40,50,43,1,0"
486,terminating,"486,606,618,630,1242,1638,2730,5334,6954,7926,7938,12753,7267,785,163,1,0"
487,terminating,"487,1,0"
469,terminating,"469,75,49,8,7,1,0"
384,terminating,"384,636,876,1196,1156,993,335,73,1,0"
488,terminating,"488,442,314,160,218,112,136,134,70,74,40,50,43,1,0"
448,terminating,"448,568,512,511,81,40,50,43,1,0"
489,terminating,"489,167,1,0"
490,terminating,"490,536,484,447,153,81,40,50,43,1,0"
491,terminating,"491,1,0"
492,terminating,"492,684,1136,1096,974,490,536,484,447,153,81,40,50,43,1,0"
493,terminating,"493,47,1,0"
494,terminating,"494,346,176,196,203,37,1,0"
495,terminating,"495,441,300,568,512,511,81,40,50,43,1,0"
496,perfect,496
497,terminating,"497,79,1,0"
577,terminating,"577,1,0"
578,terminating,"578,343,57,23,1,0"
545,terminating,"545,115,29,1,0"
579,terminating,"579,197,1,0"
580,terminating,"580,680,940,1076,814,554,280,440,640,890,730,602,454,230,202,104,106,56,64,63,41,1,0"
581,terminating,"581,91,21,11,1,0"
498,terminating,"498,510,786,798,1122,1470,2634,2646,4194,4932,7626,8502,9978,9990,17370,28026,35136,67226,33616,37808,40312,35288,37072,45264,79728,146448,281166,281178,363942,424638,526338,722961,321329,1,0"
470,terminating,"470,394,200,265,59,1,0"
499,terminating,"499,1,0"
471,terminating,"471,161,31,1,0"
546,terminating,"546,798,1122,1470,2634,2646,4194,4932,7626,8502,9978,9990,17370,28026,35136,67226,33616,37808,40312,35288,37072,45264,79728,146448,281166,281178,363942,424638,526338,722961,321329,1,0"
500,terminating,"500,592,586,296,274,140,196,203,37,1,0"
582,terminating,"582,594,846,1026,1374,1386,2358,2790,4698,6192,11540,12736,12664,11096,11104,10820,11944,10466,5236,6860,9940,14252,14308,15218,10894,6746,3376,3196,2852,2524,1900,2440,3140,3496,3704,3256,3584,4600,6560,9316,8072,7078,3542,3370,2714,1606,1058,601,1,0"
583,terminating,"583,65,19,1,0"
547,terminating,"547,1,0"
472,terminating,"472,428,328,302,154,134,70,74,40,50,43,1,0"
501,terminating,"501,171,89,1,0"
548,terminating,"548,418,302,154,134,70,74,40,50,43,1,0"
584,terminating,"584,526,266,214,110,106,56,64,63,41,1,0"
473,terminating,"473,55,17,1,0"
502,terminating,"502,254,130,122,64,63,41,1,0"
549,terminating,"549,257,1,0"
585,terminating,"585,507,225,178,92,76,64,63,41,1,0"
474,terminating,"474,486,606,618,630,1242,1638,2730,5334,6954,7926,7938,12753,7267,785,163,1,0"
503,terminating,"503,1,0"
550,terminating,"550,566,286,218,112,136,134,70,74,40,50,43,1,0"
586,terminating,"586,296,274,140,196,203,37,1,0"
475,terminating,"475,145,35,13,1,0"
609,terminating,"609,351,209,31,1,0"
610,terminating,"610,506,358,182,154,134,70,74,40,50,43,1,0"
551,terminating,"551,49,8,7,1,0"
611,terminating,"611,61,1,0"
587,terminating,"587,1,0"
504,terminating,"504,1056,1968,3240,7650,14112,32571,27333,12161,1,0"
476,terminating,"476,532,588,1008,2216,1954,980,1414,1034,694,350,394,200,265,59,1,0"
588,terminating,"588,1008,2216,1954,980,1414,1034,694,350,394,200,265,59,1,0"
505,terminating,"505,107,1,0"
477,terminating,"477,225,178,92,76,64,63,41,1,0"
612,terminating,"612,1026,1374,1386,2358,2790,4698,6192,11540,12736,12664,11096,11104,10820,11944,10466,5236,6860,9940,14252,14308,15218,10894,6746,3376,3196,2852,2524,1900,2440,3140,3496,3704,3256,3584,4600,6560,9316,8072,7078,3542,3370,2714,1606,1058,601,1,0"
613,terminating,"613,1,0"
614,terminating,"614,310,266,214,110,106,56,64,63,41,1,0"
506,terminating,"506,358,182,154,134,70,74,40,50,43,1,0"
589,terminating,"589,51,21,11,1,0"
615,terminating,"615,393,135,105,87,33,15,9,4,3,1,0"
616,terminating,"616,824,736,776,694,350,394,200,265,59,1,0"
617,terminating,"617,1,0"
618,terminating,"618,630,1242,1638,2730,5334,6954,7926,7938,12753,7267,785,163,1,0"
478,terminating,"478,242,157,1,0"
507,terminating,"507,225,178,92,76,64,63,41,1,0"
590,terminating,"590,490,536,484,447,153,81,40,50,43,1,0"
619,terminating,"619,1,0"
479,terminating,"479,1,0"
591,terminating,"591,201,71,1,0"
508,terminating,"508,388,298,152,148,118,62,34,20,22,14,10,8,7,1,0"
620,terminating,"620,724,550,566,286,218,112,136,134,70,74,40,50,43,1,0"
592,terminating,"592,586,296,274,140,196,203,37,1,0"
509,terminating,"509,1,0"
621,terminating,"621,339,117,65,19,1,0"
480,terminating,"480,1032,1608,2472,3768,5712,12144,23568,37440,101244,180996,241356,321836,251044,188290,168830,135082,88478,59698,34622,24754,12380,13660,15068,11308,10364,7780,8600,11860,13088,12742,7274,3640,6440,10840,13640,20920,26240,38020,41864,36646,19298,9652,8268,12900,25292,18976,18446,10498,5882,3514,2534,1834,1334,826,614,310,266,214,110,106,56,64,63,41,1,0"
622,terminating,"622,314,160,218,112,136,134,70,74,40,50,43,1,0"
593,terminating,"593,1,0"
641,terminating,"641,1,0"
642,terminating,"642,654,666,816,1416,2184,4536,9984,18632,18628,13978,7802,4294,2546,1534,986,634,320,442,314,160,218,112,136,134,70,74,40,50,43,1,0"
643,terminating,"643,1,0"
623,terminating,"623,97,1,0"
644,terminating,"644,700,1036,1092,2044,2100,4844,4900,7469,1939,285,195,141,51,21,11,1,0"
645,terminating,"645,411,141,51,21,11,1,0"
646,terminating,"646,434,334,170,154,134,70,74,40,50,43,1,0"
647,terminating,"647,1,0"
594,terminating,"594,846,1026,1374,1386,2358,2790,4698,6192,11540,12736,12664,11096,11104,10820,11944,10466,5236,6860,9940,14252,14308,15218,10894,6746,3376,3196,2852,2524,1900,2440,3140,3496,3704,3256,3584,4600,6560,9316,8072,7078,3542,3370,2714,1606,1058,601,1,0"
648,terminating,"648,1167,393,135,105,87,33,15,9,4,3,1,0"
649,terminating,"649,71,1,0"
650,aspiring,"650,652,496"
651,terminating,"651,373,1,0"
510,terminating,"510,786,798,1122,1470,2634,2646,4194,4932,7626,8502,9978,9990,17370,28026,35136,67226,33616,37808,40312,35288,37072,45264,79728,146448,281166,281178,363942,424638,526338,722961,321329,1,0"
652,aspiring,"652,496"
653,terminating,"653,1,0"
654,terminating,"654,666,816,1416,2184,4536,9984,18632,18628,13978,7802,4294,2546,1534,986,634,320,442,314,160,218,112,136,134,70,74,40,50,43,1,0"
655,terminating,"655,137,1,0"
656,terminating,"656,646,434,334,170,154,134,70,74,40,50,43,1,0"
624,terminating,"624,1112,988,972,1576,1394,874,566,286,218,112,136,134,70,74,40,50,43,1,0"
625,terminating,"625,156,236,184,176,196,203,37,1,0"
626,terminating,"626,316,244,190,170,154,134,70,74,40,50,43,1,0"
627,terminating,"627,333,161,31,1,0"
628,terminating,"628,478,242,157,1,0"
629,terminating,"629,55,17,1,0"
630,terminating,"630,1242,1638,2730,5334,6954,7926,7938,12753,7267,785,163,1,0"
595,terminating,"595,269,1,0"
631,terminating,"631,1,0"
705,terminating,"705,447,153,81,40,50,43,1,0"
706,terminating,"706,356,274,140,196,203,37,1,0"
707,terminating,"707,109,1,0"
